split,patient_auc,n_test_patients,n_test_ms,n_test_healthy
1,0.6370370370370371,32,5,27
2,0.6148148148148148,32,5,27
3,0.6944444444444444,31,4,27
4,0.4807692307692307,32,6,26
5,0.41714285714285715,32,7,25
6,0.7555555555555555,32,5,27
7,0.8444444444444444,32,5,27
8,0.8333333333333334,32,2,30
9,0.09677419354838712,32,1,31
10,0.5192307692307693,32,6,26
11,0.5153846153846153,31,5,26
12,0.6857142857142856,32,7,25
13,0.6171428571428571,32,7,25
14,0.6266666666666667,31,6,25
15,0.5982142857142857,32,4,28
16,0.5961538461538461,32,6,26
17,0.390625,32,8,24
18,0.5314009661835748,32,9,23
19,0.608974358974359,32,6,26
20,0.5535714285714286,32,4,28
21,0.7395833333333333,32,8,24
22,0.6969696969696969,31,9,22
23,0.6888888888888889,32,5,27
24,0.5357142857142857,32,4,28
25,0.674074074074074,32,5,27
26,0.8141025641025641,32,6,26
27,0.7166666666666666,32,2,30
28,0.5977011494252873,32,3,29
29,0.8742857142857142,32,7,25
30,0.7126436781609196,32,3,29
31,0.5535714285714286,32,4,28
32,0.6346153846153846,32,6,26
33,0.7371428571428571,32,7,25
34,0.7111111111111111,32,5,27
35,0.7232142857142857,32,4,28
36,0.5576923076923077,32,6,26
37,0.8303571428571429,32,4,28
38,0.42592592592592593,31,4,27
39,0.6979166666666667,32,8,24
40,0.7866666666666666,31,6,25
41,0.7037037037037037,32,5,27
42,0.6444444444444445,32,5,27
43,0.6296296296296297,31,4,27
44,0.5625,32,4,28
45,0.7115384615384616,32,6,26
46,0.5923076923076924,31,5,26
47,0.4461538461538462,31,5,26
48,0.5192307692307693,32,6,26
49,0.8148148148148149,32,5,27
50,0.8,32,5,27
51,0.75,31,3,28
52,0.3793103448275862,32,3,29
53,0.4739583333333333,32,8,24
54,0.5119047619047619,31,3,28
55,0.8333333333333333,31,4,27
56,0.5866666666666667,31,6,25
57,0.7946428571428572,32,4,28
58,0.6114285714285713,32,7,25
59,0.7166666666666667,32,2,30
60,0.49629629629629635,32,5,27
61,0.6514285714285714,32,7,25
62,0.7533333333333333,31,6,25
63,0.5370370370370371,31,4,27
64,0.6206896551724137,31,2,29
65,0.6166666666666667,32,2,30
66,0.7481481481481482,32,5,27
67,0.6571428571428571,32,7,25
68,0.5128205128205129,32,6,26
69,0.5178571428571428,32,4,28
70,0.7410714285714286,32,4,28
71,0.6923076923076923,31,5,26
72,0.5166666666666667,32,2,30
73,0.7946428571428572,32,4,28
74,0.47333333333333333,31,6,25
75,0.4971428571428571,32,7,25
76,0.3666666666666667,31,6,25
77,0.5128205128205128,32,6,26
78,0.689655172413793,32,3,29
79,0.5925925925925927,32,5,27
80,0.5384615384615384,31,5,26
81,0.5576923076923077,32,6,26
82,0.5333333333333333,31,1,30
83,0.562962962962963,32,5,27
84,0.5828571428571429,32,7,25
85,0.9310344827586207,32,3,29
86,0.4166666666666667,32,6,26
87,0.43333333333333335,32,2,30
88,0.7678571428571428,32,4,28
89,0.49107142857142855,32,4,28
90,0.7232142857142857,32,4,28
91,0.5833333333333333,31,4,27
92,0.8296296296296296,32,5,27
93,0.42528735632183906,32,3,29
94,0.75,32,10,22
95,0.5111111111111111,32,5,27
96,0.5670995670995671,32,11,21
97,0.5507246376811594,32,9,23
98,0.5371428571428571,32,7,25
99,0.75,32,6,26
100,0.8,32,5,27
101,0.8064516129032258,32,1,31
102,0.5893719806763285,32,9,23
103,0.33974358974358976,32,6,26
104,0.6444444444444445,32,5,27
105,0.38461538461538464,32,6,26
106,0.7756410256410257,32,6,26
107,0.5977011494252873,32,3,29
108,0.6282051282051282,32,6,26
109,0.8514285714285713,32,7,25
110,0.5977011494252873,32,3,29
111,0.725925925925926,32,5,27
112,0.5517241379310345,32,3,29
113,0.7,32,2,30
114,0.632183908045977,32,3,29
115,0.5133333333333333,31,6,25
116,0.4685714285714285,32,7,25
117,0.6339285714285715,32,4,28
118,0.6148148148148148,32,5,27
119,0.6514285714285715,32,7,25
120,0.7272727272727273,31,9,22
121,0.7555555555555555,32,5,27
122,0.5833333333333334,32,2,30
123,0.5402298850574713,32,3,29
124,0.7380952380952381,31,3,28
125,0.5407407407407407,32,5,27
126,0.4222222222222223,32,5,27
127,0.5625,32,4,28
128,0.6904761904761905,31,7,24
129,0.5933333333333333,31,6,25
130,0.6076923076923076,31,5,26
131,0.4423076923076923,32,6,26
132,0.6199999999999999,31,6,25
133,0.8692307692307693,31,5,26
134,0.7701149425287357,32,3,29
135,0.8452380952380952,31,7,24
136,0.7,31,5,26
137,0.5892857142857143,32,4,28
138,0.5961538461538461,32,6,26
139,0.7371428571428572,32,7,25
140,0.7564102564102564,32,6,26
141,0.7948717948717948,32,6,26
142,0.3666666666666667,32,2,30
143,0.5892857142857143,32,4,28
144,0.7023809523809524,31,7,24
145,0.6307692307692307,31,5,26
146,0.48809523809523814,31,7,24
147,0.6074074074074074,32,5,27
148,0.6282051282051282,32,6,26
149,0.6474358974358975,32,6,26
150,0.7282608695652174,31,8,23
151,0.8333333333333333,31,4,27
152,0.35384615384615387,31,5,26
153,0.6666666666666667,31,4,27
154,0.53125,32,8,24
155,0.6517857142857143,32,4,28
156,0.5402298850574712,32,3,29
157,0.5961538461538461,32,6,26
158,0.7435897435897436,32,6,26
159,0.725925925925926,32,5,27
160,0.7185185185185186,32,5,27
161,0.75,32,6,26
162,0.8095238095238095,31,3,28
163,0.7428571428571429,32,7,25
164,0.5747126436781609,32,3,29
165,0.7111111111111111,32,5,27
166,0.6333333333333333,32,2,30
167,0.6781609195402298,32,3,29
168,0.5448717948717949,32,6,26
169,0.5,31,6,25
170,0.523076923076923,31,5,26
171,0.43333333333333335,31,6,25
172,0.6346153846153846,32,6,26
173,0.6518518518518519,32,5,27
174,0.5625,32,4,28
175,0.4743589743589743,32,6,26
176,0.5866666666666667,31,6,25
177,0.5066666666666666,31,6,25
178,0.5576923076923077,32,6,26
179,0.6987179487179487,32,6,26
180,0.4367816091954023,32,3,29
181,0.7011494252873564,32,3,29
182,0.6607142857142857,31,7,24
183,0.5,31,1,30
184,0.6666666666666667,31,4,27
185,0.7925925925925926,32,5,27
186,0.425287356321839,32,3,29
187,0.5703703703703704,32,5,27
188,0.5771428571428571,32,7,25
189,0.36607142857142855,32,4,28
190,0.4833333333333333,32,2,30
191,0.5625,32,4,28
192,0.44230769230769224,32,6,26
193,0.8057142857142856,32,7,25
194,0.5259259259259259,32,5,27
195,0.7142857142857143,31,3,28
196,0.6266666666666666,31,6,25
197,0.4642857142857143,32,4,28
198,0.5481481481481482,32,5,27
199,0.7885714285714286,32,7,25
200,0.6370370370370371,32,5,27
