id,x,label,cluster
621e30c867b776a240d4aa6c,"[12760. 14117.  8875.  9481. 14584. 18146. 12579. 13811.  3884.  5739.
  6551.  9568.  8706. 14675.  4973.  8601.  8072.  9084.  9037.  8843.
 12719.  6448. 10514. 12591.  5359.  7928. 12164.  9380.  7229.  8408.
  7753.  5936.  4089.  4264.  5307.  9737. 12688.  7963.  9808. 12521.
 11513.  6290. 15392. 11046. 10923. 12284.  3369. 18748.  8592.  6975.
  4858. 10539.  7196. 11976.  5330.   565.  9553. 19042. 16186.  9372.
  7222. 10958.  5056. 12247.  7376. 10516.]",1,2
621e30f467b776a240f22944,"[ 9446.81  3116.    7473.   17054.   12024.    2321.    9446.81  9446.81
  9446.81  9446.81  9446.81  9446.81  9446.81  1369.    6724.    4959.
  8067.   23480.   28740.    3188.    4960.    6946.    4177.    5150.
 13150.   12269.    3557.    2780.    1758.    8092.    8733.   12173.
 10744.    6811.   11256.    4790.    4890.    2326.   12270.   31513.
 27545.   30612.   25832.    5629.    8006.   16006.   12696.    6112.
  4690.    2672.   12240.   17242.    5046.   12749.    4226.    3366.
  3021.    5708.    9639.    9282.   13178.    4642.    5964.   18751.
  3794.    8086.  ]",1,0
621e310d67b776a24003096d,"[ 5610.13  5610.13  4193.    7136.    8952.    2782.    4674.    5967.
  4030.    4725.    2235.    5417.    3755.      87.    5284.    3292.
  9909.    9615.   10244.    2017.    2608.   13075.    4579.       0.
  4918.   10053.    3326.    4019.    2369.    7486.    4997.    6134.
  6185.    3929.    7378.    5728.    4809.    8166.    6358.    7880.
  5610.13  3818.    8782.    5232.    4778.    6474.    6645.    4277.
   172.    5610.13  3109.    3439.    5575.    8049.    4021.   20924.
  9500.    1242.    5610.13 19897.    7464.    5610.13  4347.    3795.
  6363.    8522.  ]",1,0
621e312a67b776a240164d59,"[ 7134.54  1254.    9961.    5842.   14981.    5665.    6611.     293.
  5624.    4054.    5695.   15470.    5123.    3502.    2904.    3963.
 14093.   13175.    8027.    5240.    3983.    4338.    6228.    7083.
 15084.    9794.   14731.    6515.    6017.    7559.    4433.   10908.
 13889.    6361.    4035.    4692.    7062.   13125.   18122.   11149.
  3625.    8639.    4662.    6682.    7431.   25600.   11026.    7085.
  7956.    5730.    6426.   13855.   11306.   14388.    6785.    4220.
  9083.    9007.   11225.     246.    7134.54  7134.54  7134.54  7134.54
  7134.54  7134.54]",1,0
621e314867b776a24029ebf9,"[ 7436.    2827.     731.    2104.       0.       0.      80.    1671.
  1791.    2237.    2696.    6231.   13296.    1421.    1985.    4859.
  2992.   12409.    2151.   17734.    9745.    9526.    2775.    6648.32
  6648.32  6648.32  6648.32  6648.32  6648.32  6648.32  2207.    4742.
  7485.    9162.     777.    6417.    2602.    3303.    2480.    5879.
 14184.    8163.    8381.     575.    6648.32  6648.32   586.   13505.
 14630.    9525.    7999.   10655.    8995.    7912.   31571.   11736.
  8696.   10182.    3508.    5486.    1533.   11762.   11130.    7008.
  7312.    6042.  ]",1,1
621e320b67b776a240d36a07,"[ 8541.55  7514.    9974.    9005.    8066.    7753.    4158.    5702.
  2953.    5296.    4114.   10935.    6315.    9058.    8092.   16341.
 20627.   18757.    2784.    1977.    3309.    3629.     230.    8541.55
  8541.55  8541.55  8541.55  8541.55  8541.55  3102.    4172.    6315.
 12849.     398.    8983.    8274.   10174.    1286.     256.    5195.
  9594.    1478.    6081.    7566.   13497.    9134.   10280.   10350.
 11013.    8128.    9536.   12110.    7735.    8541.55  8541.55  5466.
  6191.   11259.   14391.    6211.   10884.    6460.   12146.    5986.
  3473.    7715.  ]",1,1
621e326767b776a24012e179,"[16992. 17914. 16136. 14995. 15995. 20869.  9386.  1439. 11927. 19454.
 17972. 30160. 20864. 21802. 22631. 21096. 23359. 20789. 22991. 21117.
 23078. 19348. 17999. 17733. 22989. 17084. 25741.  9904. 17563. 22058.
 27852. 16896. 19133. 22044. 16305. 20002. 13666. 17175. 31387. 14090.
 26433. 19577. 20589. 14491. 17318. 19891. 23897. 19017. 16597. 19087.
 16379. 19021. 20024. 21883. 16771. 21014. 16079. 14424. 19759. 17675.
 21527. 20271. 19057. 16473. 14096. 14518.]",1,0
621e32e667b776a2406d2f1c,"[ 5722.97  6391.    1608.    7111.    5563.    8213.    6357.    4006.
  5650.    1000.    7846.    4792.    8210.     271.     672.    5185.
  5405.    3423.    4212.   17470.    9045.   10255.    1966.    6119.
  9396.    3164.   14129.    6413.    6072.    1436.    3594.    2719.
  3947.    8207.   15375.    3698.    4404.    5467.    2605.    3672.
  3613.    4589.    5751.    2484.    3237.    6799.    1697.    6147.
  5596.    1759.    7684.    4048.    2806.    6442.    5258.   12171.
  6287.   11417.    1416.    5444.    3816.   12649.    7162.   15485.
  5079.    5450.  ]",1,1
621e333967b776a240a3cd06,"[ 6375.94    96.   11794.    6482.   10337.   11884.    6005.    9385.
 16716.   18218.   12317.   10352.    9170.    6084.   10894.   10680.
  6028.      77.      42.    6143.    8010.    1712.     874.      49.
  5144.    8983.   10004.   10331.   12028.    7351.    6375.94  6375.94
 12702.   11387.    8775.   12086.    6295.   12568.    9575.   11449.
  8589.   13036.    8365.    6375.94  7354.   14272.    4088.   12084.
 10007.    5487.    5253.   15372.    2756.     302.   10811.    6565.
  9894.    9709.    3177.    6354.   10617.   10931.    9720.    5939.
  5121.     523.  ]",1,2
621e337667b776a240ce78ab,"[ 6858.  2975.  3075.  7318. 10520.  7578.  2461.  2529.  8111. 10459.
  4557.  6518.  7319.  6006.  5935.  7861. 11818.  5809.  7857.  5638.
  9708.  3283.  3670. 11645.  3161. 15911.  2269.  3168.  7168.  7082.
  6775.  4125.  8311. 11323.  3970.  3946. 15000.  4332. 11848.  7797.
 10343.  3523.  2217.  7661.  1485.  9472. 17132.  2329.  9992.  9569.
  3712.  9890.  2555. 10351.  8734.  4551.  8170.  6179. 13898. 16687.
 10189. 14478. 10233.  8996.  3444.  5558.]",1,1
621e33cf67b776a240087de9,"[ 9596.84   733.    8649.   11785.    8469.    4463.    6236.    8207.
 13280.   11464.   11315.   16028.   17225.   16220.    7950.   11414.
 16993.   12090.   19574.    7351.   21976.    8367.   15406.    7831.
 11921.    6522.    8600.   13762.   11737.   15014.   15356.    8393.
 12418.   13638.   13860.    9289.   14352.    8798.    8739.    7695.
  4245.    2782.    3953.    4815.    5110.    2658.    8504.   10751.
 14588.   14263.    6263.    7494.    4495.    7037.    9863.    9430.
  8915.    8490.    9117.    7374.    5246.    4983.    8879.    8214.
 11041.    3119.  ]",1,0
621e341067b776a24037b105,"[ 4613.    7015.    2966.    6956.    8934.    5294.    8636.    5391.
  7320.    6592.    7428.   10555.   14500.    6735.   11158.    9166.
  4206.    3957.    2116.    8040.    6923.    6184.    8080.   11845.
  6874.    6510.   12785.   11267.   11791.    7795.    7092.    7130.
 12118.   13105.    9859.    7389.    9880.    4194.    5347.   12306.
 12859.   11199.   10744.    9336.    6640.    8063.     670.   13561.
  8149.   15874.    8295.    7584.03  7584.03  7584.03  7584.03  2472.
  2940.    6223.    8573.    6817.   11197.    5285.    6773.    6642.
  6141.    7844.  ]",1,1
621e342e67b776a2404ce460,"[6.49547e+03 1.96000e+02 2.14270e+04 1.24090e+04 9.11700e+03 1.77720e+04
 8.24000e+03 9.06300e+03 1.49760e+04 1.13960e+04 0.00000e+00 0.00000e+00
 4.97300e+03 0.00000e+00 9.94700e+03 2.61000e+03 1.56210e+04 6.14500e+03
 1.23430e+04 7.47000e+03 1.30190e+04 7.30300e+03 8.03500e+03 3.26770e+04
 2.42710e+04 1.43370e+04 1.72090e+04 1.18550e+04 9.83000e+03 1.40540e+04
 2.18400e+03 4.00000e+01 1.87790e+04 1.02990e+04 7.38200e+03 9.35000e+02
 4.55800e+03 1.85700e+03 3.73000e+02 1.00000e+01 4.26600e+03 4.25600e+03
 4.35400e+03 0.00000e+00 5.61800e+03 6.48500e+03 4.30000e+02 3.04100e+03
 1.40140e+04 6.07200e+03 1.45890e+04 0.00000e+00 1.24370e+04 9.22700e+03
 1.26550e+04 3.70900e+03 1.48370e+04 8.57900e+03 1.01020e+04 2.73300e+03
 9.00800e+03 6.49547e+03 6.49547e+03 9.63100e+03 4.81100e+03 3.93600e+03]",1,0
621e345c67b776a2407146a8,"[ 4872.    4924.    8844.    6253.   10399.   14554.   10095.    8747.
  2222.    2442.    7786.    6524.   16212.    4647.   10002.    7484.
  5618.    5827.    4838.    5518.    8505.   10651.    3239.    9027.
  5989.   12219.    5459.    7443.    4139.    5634.    5856.    9869.
 10253.   15266.   13903.    8007.   11556.    6928.    8998.    8158.
 11244.    6586.    7265.    9043.    8678.    3939.    5584.   11372.
  3899.    4488.    7098.    4673.    5777.    9159.    7198.    6395.44
  6395.44  6395.44  6395.44  6395.44  6395.44  6395.44  1605.    2131.
  2049.     914.  ]",1,2
621e346f67b776a24081744f,"[  686.  2308.  2959.  1895.  9079.   504.   304.  1946.  2991.  2928.
  2955.  6157. 10256.  1001.  3243.  5143.  2276.  6347.  2073.  4136.
  4814.  5343.  3206.  7598.  3704.  3007. 10026. 10053. 10411.  5920.
  4592.  5580.  8922.  7299.  8745.  5146.  2997.  8442.  7839.  6801.
  9683.  5623.  5448.  2946.  8537.  5944.  2881.   847.  4575. 10094.
  4061.  4765.  6953.  4726.  1310.  3609.  5740.  3285.  6557.  3478.
  6134.  5612.  6261.  4101.  3151.  4457.]",1,1
621e351a67b776a240f6204b,"[10736.    8072.    7238.46  7528.    1231.     275.    8001.    9257.
  2605.   11737.    6403.    2907.       0.    3843.    2308.   13960.
  7157.    5461.    8601.    1395.    4787.    4451.    5867.    4573.
  9620.   10638.    4711.    1394.    7785.   11637.    4277.    8225.
  1014.    9165.    2424.    7654.    4498.    6318.   11873.    5188.
  6869.    5991.    6056.    2989.    3366.   13219.    4414.    2949.
  3137.    5647.   13757.    8574.   11051.    4944.   16015.   24453.
 14681.    7264.    7615.    6840.    3713.    2689.    3921.    2959.
  6266.    3717.  ]",1,0
621e360b67b776a24039709f,"[7.493000e+03 1.820000e+02 9.028000e+03 9.987000e+03 1.548500e+04
 1.177600e+04 8.598000e+03 9.121000e+03 8.357000e+03 1.595300e+04
 7.782000e+03 1.180300e+04 2.778800e+04 1.183100e+04 1.758700e+04
 9.834000e+03 2.391000e+03 5.554000e+03 5.832000e+03 1.942900e+04
 1.327600e+04 7.079000e+03 7.908000e+03 8.843000e+03 1.570200e+04
 1.285700e+04 2.596100e+04 1.075700e+04 6.776000e+03 7.235000e+03
 1.714200e+04 9.801000e+03 9.186000e+03 2.551800e+04 1.014300e+04
 2.694000e+03 8.192000e+03 8.426000e+03 1.246200e+04 8.990000e+03
 1.803000e+04 8.655000e+03 1.061238e+04 7.334000e+03 1.209200e+04
 8.708000e+03 8.682000e+03 1.817600e+04 1.620100e+04 9.285000e+03
 1.450000e+03 6.724000e+03 1.826400e+04 1.526100e+04 1.255400e+04
 2.220000e+02 1.225600e+04 1.151000e+04 6.622000e+03 1.140600e+04
 1.420800e+04 9.000000e+00 1.061238e+04 5.000000e+00 1.587700e+04
 1.439500e+04]",1,1
621e362467b776a2404ad513,"[ 6493.68  6493.68  6493.68  6493.68  6493.68  6493.68  6493.68  6493.68
  6493.68  6493.68  6493.68  6493.68  6493.68  6493.68  6493.68  6493.68
  6493.68  6493.68  6493.68  6493.68  6493.68  6493.68  6493.68  6493.68
  6493.68  6493.68  7818.   10695.    5378.    4631.    6370.    9852.
 16279.    7418.    1015.    5628.    6489.    6983.    8428.    4084.
  5251.    2589.    2075.    3422.    4011.   12772.    6075.   12485.
  8464.    9172.    5380.    5979.    7682.   12557.    7518.    8262.
  9459.   11517.    6036.   15260.     953.    7368.    7724.    8482.
  7457.    7023.  ]",1,1
621e367e67b776a24087d75d,"[ 4827.    6817.    2950.    6956.    9032.    5246.    8586.    5409.
  7302.    6699.    7321.   10779.   14276.    6735.   11168.    9156.
  4234.    3929.    2116.    8084.    6879.    6184.    8080.   11845.
  6878.    6506.   12885.   11167.   11915.    7671.    7092.    7699.
 11549.   13111.    9853.    7398.    9965.    4100.    6213.   11440.
 12979.   11089.   10734.    9343.    6792.    8558.      27.   14057.
  7735.   16477.    7599.    7150.47  7150.47  7150.47  7150.47  2472.
  2940.    6223.    9796.    6003.   10788.    5310.    6756.    6634.
  6156.    7829.  ]",1,1
621e36dd67b776a240ce9a45,"[ 5846.    5684.    5004.    4468.    4717.   13530.   10801.    4395.
  3433.    5553.    5226.    6917.   22167.   10751.    5273.    5344.
  3505.    3492.    5568.   11928.   16184.    7639.    7403.    5552.
  3499.   11669.    2909.   16187.    6842.    4234.    3567.    6650.
  7269.    1705.    8067.75  8067.75  8067.75  8067.75  8067.75  8067.75
  8067.75  8067.75  8067.75  8067.75  8067.75  8067.75  8067.75  8067.75
  8067.75  8067.75  8067.75  8067.75  8067.75  8067.75  8067.75  8067.75
  8067.75  8067.75  8067.75  8067.75  8067.75  8067.75  8067.75  8067.75
  8067.75  8067.75]",1,1
621e375b67b776a240290cdc,"[10830. 10120.  4985. 14361. 12175.  9872. 14952. 10037. 10285. 13477.
 12372. 12171. 10056.  9410. 10067. 16285. 12487. 11580. 11533. 14418.
  9007. 11671. 10333. 10721. 11590. 12874. 10195.  9597. 13954. 12164.
 13370. 13026. 10779.  5596. 13408. 17973. 13710. 14866.  9851. 15567.
 16820. 15233.  5940.  7688. 16632. 11911.  5101.  7163.  6548. 19129.
  7436. 10063. 13771.  9553.  6706.  6609.  7856. 21982. 11484.  6805.
 13187. 13554. 13638.  5366. 10448. 15097.]",1,0
8,"[6051. 2755. 3977. 2192. 2741. 3258. 3105. 3521. 3163. 2639. 2550. 4187.
 2457. 4015. 2593. 4167. 2654. 2615. 3631. 3720. 3562. 3659. 5189. 3668.
 2515. 4077. 3619. 3270. 3377. 4681. 4257. 3296. 3343. 2698. 4056. 4356.
 3617. 2867. 3076. 1099.  776. 1693. 3095. 1372. 1275. 1498. 5522. 2945.
 3662. 4119. 3874. 4840. 5265. 4705. 2440. 3504. 4788. 4152. 5682. 2931.
 3274. 1599. 2899. 4331. 3056. 5329.]",0,0
9,"[4894. 3836. 9059. 5845. 4744. 5022. 4997. 3998. 4649. 3352. 7419. 4459.
 4063. 4638. 3655. 4979. 4826. 2791. 3989. 4580. 5502. 3368. 4934. 4540.
 4527. 5513. 4085. 4354. 3573. 5679. 3957. 3357. 4078. 6802. 4699. 5108.
 6299. 4594. 5942. 3468. 3676. 4389. 4879. 4834. 4101. 5934. 3111. 6826.
 6819. 4371. 3803. 4160. 5763. 2769. 4086. 4816. 5114. 3796. 5052. 3316.
 5133. 4366. 4021. 3889. 5110. 3881.]",0,0
